"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","33.8",""
"Afghanistan","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","34.1",""
"Afghanistan","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","31.5",""
"Afghanistan","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","33.1",""
"Afghanistan","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","34.8",""
"Afghanistan","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","30.0",""
"Afghanistan","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","30.2",""
"Afghanistan","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","30.2",""
"Afghanistan","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","30.1",""
"Afghanistan","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","30.0",""
"Afghanistan","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","30.1",""
"Afghanistan","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","30.0",""
"Afghanistan","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","30.0",""
"Afghanistan","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","29.8",""
"Afghanistan","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","30.0",""
"Afghanistan","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","29.9",""
"Afghanistan","Female 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","27.4",""
"Afghanistan","Female 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","29.5",""
"Afghanistan","Female 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","25.0",""
"Afghanistan","Female 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","28.1",""
"Afghanistan","Female 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","31.9",""
"Afghanistan","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","22.7",""
"Afghanistan","Female 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","23.5",""
"Afghanistan","Female 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","23.4",""
"Afghanistan","Female 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","23.2",""
"Afghanistan","Female 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","23.1",""
"Afghanistan","Female 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","23.4",""
"Afghanistan","Female 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","23.3",""
"Afghanistan","Female 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","23.1",""
"Afghanistan","Female 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","22.5",""
"Afghanistan","Female 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","22.9",""
"Afghanistan","Female 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","22.6",""
"Afghanistan","Male 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","81.1",""
"Afghanistan","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","81.7",""
"Afghanistan","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","79.9",""
"Afghanistan","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","80.5",""
"Afghanistan","Male 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","81.3",""
"Afghanistan","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","79.6",""
"Afghanistan","Male 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","79.9",""
"Afghanistan","Male 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","79.9",""
"Afghanistan","Male 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","79.9",""
"Afghanistan","Male 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","79.9",""
"Afghanistan","Male 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","79.9",""
"Afghanistan","Male 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","79.9",""
"Afghanistan","Male 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","79.8",""
"Afghanistan","Male 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","79.7",""
"Afghanistan","Male 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","79.7",""
"Afghanistan","Male 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","79.6",""
"Afghanistan","Male 15-24 yr","2006","ILO_KILM Database 5ed_2007","Percent","62.0",""
"Afghanistan","Male 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","63.6",""
"Afghanistan","Male 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","59.5",""
"Afghanistan","Male 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","61.5",""
"Afghanistan","Male 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","64.7",""
"Afghanistan","Male 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","58.2",""
"Afghanistan","Male 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","58.9",""
"Afghanistan","Male 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","58.9",""
"Afghanistan","Male 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","58.7",""
"Afghanistan","Male 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","58.7",""
"Afghanistan","Male 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","58.9",""
"Afghanistan","Male 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","58.8",""
"Afghanistan","Male 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","58.7",""
"Afghanistan","Male 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","58.1",""
"Afghanistan","Male 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","58.3",""
"Afghanistan","Male 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","58.0",""
"Albania","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","41.6",""
"Albania","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","41.8",""
"Albania","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","42.1",""
"Albania","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","42.1",""
"Albania","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","41.5",""
"Albania","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","41.9",""
"Albania","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","42.4",""
"Albania","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","42.9",""
"Albania","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","43.4",""
"Albania","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","44.7",""
